Basecluster-amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
8500;58.951712131500244;1334;8500;0.9843750000000123;0.8614583333333438;0.8335890751571707;0.40554722638680657;0.021739130434782608;0.020989505247376312;0.043478260869565216;0.08020989505247376;0.4280359820089955;0.8086696562032885;0.01046337817638266;0.007473841554559043;0.004484304932735426;0.02242152466367713;0.14648729446935724;0.5401897154268597;0.014127144298688193;0.011022754113849302;0.008130081300813007;0.03504634633651044;0.2182742997790264
9000;65.33085012435913;1340;9000;0.9843750000000123;0.8614583333333438;0.8323465156333613;0.40373134328358207;0.022388059701492536;0.02164179104477612;0.04328358208955224;0.08208955223880597;0.42686567164179107;0.8086696562032885;0.01046337817638266;0.007473841554559043;0.004484304932735426;0.02242152466367713;0.14648729446935724;0.5385764061722249;0.014261460101867572;0.011110685414351942;0.008126663864368782;0.03522254242715338;0.2181218238558099
9500;68.14932012557983;1347;9500;0.9843750000000123;0.8614583333333438;0.8330644088512545;0.4016332590942836;0.022271714922048998;0.022271714922048998;0.042316258351893093;0.08240534521158129;0.429101707498144;0.8086696562032885;0.01046337817638266;0.007473841554559043;0.0029895366218236174;0.02242152466367713;0.14798206278026907;0.5367063492063493;0.014237770771890573;0.011191941801902628;0.005584539642883387;0.035251524390243906;0.22006980299402926
10000;82.50656008720398;1354;10000;0.985416666666679;0.8635416666666772;0.8338878215496672;0.40029542097488924;0.022156573116691284;0.022895125553914326;0.042097488921713444;0.08345642540620384;0.42909896602658787;0.8101644245142003;0.01046337817638266;0.007473841554559043;0.0029895366218236174;0.02242152466367713;0.14648729446935724;0.5358378645575878;0.014214160010829834;0.011269039223526844;0.005582625303004334;0.03534674215646407;0.21841225514546941
11000;92.94172382354736;1356;11000;0.985416666666679;0.8635416666666772;0.8334711548830006;0.39896755162241887;0.022123893805309734;0.022861356932153392;0.04129793510324484;0.084070796460177;0.4306784660766962;0.8086696562032885;0.01046337817638266;0.007473841554559043;0.0029895366218236174;0.02391629297458894;0.14648729446935724;0.5343209876543209;0.014207428455449565;0.011264944220356843;0.005575467941059339;0.03723892938078031;0.21861630607505192
12000;107.48549389839172;1367;12000;0.9869791666666791;0.8656250000000106;0.8346748585867043;0.3972201901975128;0.02267739575713241;0.021945866861741038;0.04169714703730797;0.08485735186539868;0.4316020482809071;0.8116591928251121;0.01046337817638266;0.007473841554559043;0.0014947683109118087;0.025411061285500747;0.14349775784753363;0.5333988212180747;0.01431965157714135;0.011150343802267237;0.002886075949367088;0.039110300169570525;0.21538496640313953
13000;132.7429530620575;1374;13000;0.9890625000000125;0.8677083333333441;0.8367581919200378;0.39665211062590977;0.022561863173216887;0.021834061135371178;0.04148471615720524;0.08442503639010189;0.433042212518195;0.8146487294469357;0.01046337817638266;0.007473841554559043;0.0014947683109118087;0.025411061285500747;0.14050822122571002;0.5335291238374938;0.014296537866060546;0.011135857461024497;0.002885564583491533;0.039064202373170105;0.21217311474912323
14000;171.17849707603455;1376;14000;0.9890625000000125;0.8677083333333441;0.8367581919200378;0.3960755813953488;0.02252906976744186;0.02180232558139535;0.04142441860465116;0.08430232558139535;0.43386627906976744;0.8146487294469357;0.01046337817638266;0.007473841554559043;0.0014947683109118087;0.025411061285500747;0.14050822122571002;0.5330073349633251;0.014289947647426821;0.011131725417439703;0.002885418512237718;0.03905105152679314;0.21227188564446975
15000;195.52605986595154;1379;15000;0.9890625000000125;0.8677083333333441;0.8367581919200378;0.39521392313270487;0.022480058013052938;0.021754894851341553;0.04205946337926034;0.08484408992023205;0.43364757070340826;0.8146487294469357;0.01046337817638266;0.007473841554559043;0.0014947683109118087;0.025411061285500747;0.14050822122571002;0.5322265625;0.014280073703606212;0.011125533098460967;0.0028869366118314628;0.03910889142317826;0.21224569935509205
16000;212.98055505752563;1390;15465;0.9890625000000125;0.8677083333333441;0.8370359696978156;0.3920863309352518;0.02302158273381295;0.022302158273381296;0.04244604316546763;0.08489208633093526;0.4352517985611511;0.8146487294469357;0.01046337817638266;0.007473841554559043;0.0029895366218236174;0.025411061285500747;0.13901345291479822;0.5293831957260807;0.014387565033078555;0.011195781718371916;0.00558566661144115;0.039113988222906834;0.2107244178534311
17000;219.38517999649048;1390;15465;0.9890625000000125;0.8677083333333441;0.8370359696978156;0.3920863309352518;0.02302158273381295;0.022302158273381296;0.04244604316546763;0.08489208633093526;0.4352517985611511;0.8146487294469357;0.01046337817638266;0.007473841554559043;0.0029895366218236174;0.025411061285500747;0.13901345291479822;0.5293831957260807;0.014387565033078555;0.011195781718371916;0.00558566661144115;0.039113988222906834;0.2107244178534311
