Basecluster-amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
3750;11.216385841369629;3295;3750;0.9195454545454652;0.7406250000000081;0.7584604461346733;0.5359635811836115;0.007587253414264037;0.004552352048558422;0.015477996965098634;0.023672230652503793;0.41274658573596357;0.7279521674140508;0.005979073243647235;0.01046337817638266;0.008968609865470852;0.01046337817638266;0.23617339312406577;0.6173763575784093;0.006687844841999667;0.006344410876132931;0.011356677615097701;0.014512206466702992;0.30043692544304246
4000;12.62120008468628;3509;4000;0.9276388888888997;0.7510416666666752;0.769741162966861;0.5280706754060986;0.007694499857509262;0.005414648047876888;0.01481903676261043;0.022798518096323737;0.42120262182958107;0.7414050822122571;0.007473841554559043;0.01046337817638266;0.008968609865470852;0.008968609865470852;0.2227204783258595;0.6168125388197325;0.007582565715569535;0.007136341685893653;0.01117438487160202;0.012873119317724675;0.29137159199086016
4250;14.331309080123901;3720;4250;0.9340625000000111;0.7635416666666757;0.7804797663350381;0.5260752688172043;0.008870967741935484;0.00564516129032258;0.01478494623655914;0.02204301075268817;0.42258064516129035;0.7518684603886397;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.008968609865470852;0.21225710014947682;0.6190247557455949;0.008112692676451067;0.006928977975748578;0.01225431686162171;0.012749747337324108;0.2825784792532223
4500;15.96871304512024;3919;4500;0.9442708333333448;0.7739583333333429;0.7912436552239273;0.533809645317683;0.008420515437611636;0.005613676958407757;0.014289359530492473;0.02117887216126563;0.4166879305945394;0.7683109118086696;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.19730941704035873;0.6299443981307087;0.007918986369744674;0.006905210295040804;0.012080681695609968;0.011048694124224594;0.26780719164360456
4750;17.41584801673889;4135;4750;0.9480902777777895;0.7791666666666764;0.7959509964937688;0.5361547762998791;0.009189842805320435;0.005562273276904474;0.013784764207980653;0.021523579201934703;0.41378476420798066;0.7742899850523169;0.007473841554559043;0.008968609865470852;0.008968609865470852;0.008968609865470852;0.19133034379671152;0.633585307782979;0.008243486560947566;0.006866184043585342;0.01086697488203613;0.012661379236760677;0.26166783855325676
5000;20.658915996551514;4336;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5394372693726938;0.00922509225092251;0.005304428044280443;0.013376383763837638;0.020756457564575646;0.41190036900369004;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6398675656158441;0.008257638315441783;0.006666183609883342;0.011741909361714434;0.01099035291244352;0.24991341885335078
5500;24.428162097930908;4748;5500;0.9626736111111234;0.8000000000000101;0.8141603218905945;0.5450716090985678;0.009056444818871103;0.005475989890480202;0.012215669755686605;0.020219039595619208;0.40796124684077506;0.8026905829596412;0.005979073243647235;0.007473841554559043;0.01046337817638266;0.007473841554559043;0.16591928251121077;0.6492597139765777;0.007202830880043551;0.006320805173335927;0.011271828757044895;0.01091355554545041;0.2358980097987746
6000;28.359890937805176;5162;6000;0.9689236111111237;0.8062500000000101;0.8210005996683726;0.5546299883765983;0.00910499806276637;0.006005424254165052;0.01162340178225494;0.019372336303758234;0.3992638512204572;0.8131539611360239;0.004484304932735426;0.007473841554559043;0.008968609865470852;0.007473841554559043;0.15844544095665172;0.6594602490750985;0.006009077542670842;0.006659648972050957;0.010124873439082012;0.010786322942508898;0.22686205107942395
6500;33.52628803253174;5561;6500;0.973611111111124;0.8145833333333438;0.8288081393509125;0.5533177486063657;0.008811364862434813;0.006114008271893544;0.011328897680273332;0.01798237727027513;0.4024456033087574;0.8236173393124065;0.004484304932735426;0.005979073243647235;0.008968609865470852;0.007473841554559043;0.14947683109118087;0.6619369291987856;0.005943716642406598;0.006045787952878417;0.01001152119502602;0.010559104587930943;0.21798821616872563
7000;38.423397064208984;5977;7000;0.976736111111124;0.8218750000000108;0.8370612476766955;0.5576376108415593;0.008365400702693659;0.006023088505939435;0.010875020913501756;0.016730801405387317;0.40036807763091853;0.8295964125560538;0.004484304932735426;0.005979073243647235;0.007473841554559043;0.005979073243647235;0.14648729446935724;0.6669590763459678;0.005838734162433585;0.006001000166694449;0.008859206760256236;0.008809796493700995;0.21449487186640098
